PARCELID,GlobalID,natural
1963-87-8469-000,{2A0E44EA-1594-4E0E-975C-C51CC960EFAF},0
1962-80-1156-000,{60F5DA2A-AD50-41B2-B186-A3E38E58CD44},1
1962-80-1156-000,{E0516E62-F4E2-4BE5-AA3A-A5CBB8857FE3},0
1950-55-2187-000,{98CEEACF-BCD1-4AE8-89FA-1C91F1592959},0
2817-37-8940-000,{43017A97-775F-4C7C-BDA5-F49C86AF8041},0
1878-25-3746-000,{FE8B28B8-4F0C-42CA-9C4C-427147EF50A0},0
1972-35-8854-000,{2851419F-3DE3-446A-9ECF-40C71EA1EA1F},0
2941-03-4926-000,{B069A4F4-080C-4F97-9A4C-A2040D985FC8},0
1990-06-8543-000,{4027D1A2-6622-43D9-B9B7-4085A80A6679},0
1983-18-6864-000,{06943516-A352-4DA2-A194-239D97D7F056},0
1889-51-3412-000,{3116BCCC-82FA-4417-AB7F-8B24AE854E44},0
2911-94-5796-000,{8767C247-312D-4745-9E8E-FBD83B1989A2},0
1878-67-8754-000,{8546C445-B3C2-448C-9EA7-A1A2645E3DB3},0
1950-31-0952-000,{EEA5E35C-1783-444A-BDF9-7586ED127662},0
1888-05-9696-000,{9BF5979C-B943-4167-921B-49A1497C0CFE},0
2921-85-4285-000,{D6B2ECFA-7443-4F69-B241-BC234FF9B662},0
2869-55-7079-000,{174F8799-3E3F-4B82-9E66-6633F5C6FA29},0
1941-40-4402-000,{8C8CE2F4-E47A-4D08-BB9A-E7BE9BAF0CBE},0
2859-81-6057-000,{814D1972-02AA-4493-98BF-A5F1208A12ED},0
1960-42-7939-000,{7BB00637-342C-414C-A567-5C8CC03E40E5},0
2921-65-8282-000,{342CE5BC-7DE1-4142-9D7C-8A27119C8423},0
1888-05-1435-000,{4CAC0D99-F9CD-4F70-8629-DF0E31C5D130},0
2859-35-0544-000,{17DD4453-A558-40B2-A2EF-ED975A841FDB},0
2901-36-0441-000,{C08CCC5A-87A1-4EAB-A458-DC736EAB5827},1
1993-21-5432-000,{99E56659-DD4B-43AD-9289-F4A26C6A16BD},0
1994-26-5829-000,{D6196EE6-A035-4593-BA39-07261257B05B},0
2839-64-9338-000,{F4E30ABA-B8BC-452E-9B4B-D60DDABB4C62},0
1941-43-0829-000,{DA287A4D-5D97-4D5D-842B-D4F1D3BDB0CC},0
2920-27-1361-000,{7D2A5016-A740-498E-9B8A-212FFAED50E4},0
2912-90-0550-000,{48E71D51-7D9B-4EA0-88E6-F94893450ADA},0
1940-59-1644-000,{FE37A79A-7EBC-458D-A3D8-6B7121B7FF11},0
1898-48-6624-000,{1A790B29-1836-4D74-A448-587D26E03D5A},0
1941-54-7314-000,{8EFB5AE0-BBC8-4A49-889D-6441040EEF05},0
2920-14-6234-000,{720ADB6F-F5F4-4FDE-9DF4-33F9268EFDC0},0
2901-70-6568-000,{2DC9A066-D47E-44ED-A371-3E943E657A8E},0
2920-76-5726-000,{74800628-61DA-48BE-87A8-5D4E1ADFE01D},0
1940-79-0956-000,{853361DA-52B7-4911-A279-FDD240F6BD3F},0
2903-79-5764-000,{ACEBDD1D-E29E-459E-8BA5-23D2D4DEC063},0
2913-55-1036-000,{2105F4F9-2EF0-4F84-8F3B-D9D21F4FD17E},0
2920-55-7833-000,{AF1BFD2F-092E-4D79-A1B2-126623DF47B6},0
1899-69-9627-000,{33443EA2-6DD5-4684-AD20-D4AE6C2741D2},0
1940-92-7977-000,{2D42B29B-A541-4390-B1EE-D46D35D3D296},0
2920-81-4057-000,{323178D4-415B-4477-B89E-7784D7425D27},0
2932-51-8320-000,{7D0CF701-6D66-4A0F-A8A1-0E01F56A44B4},0
2807-97-1301-000,{6A621A82-054B-491A-BACF-5E7B08C53E98},0
1981-25-3750-000,{D1CB692C-0ABC-429A-989A-3CBC75265B9C},0
2819-56-9156-000,{34E54A47-CFC2-41C9-A68B-A0A6B4F2C76D},0
2839-23-8625-000,{0AF1C0FB-9C3D-4412-AF25-9F78D6552B9B},0
2900-69-4595-000,{FDAE4B9F-2E65-477E-B02D-05F08772DE19},0
2817-44-1865-000,{1713066E-C9E5-4165-A9E8-FE497D2A1A75},0
2817-68-8323-000,{9E01811E-04F2-4791-BFAA-6FC5A7A28EAC},0
2819-85-0759-000,{7B220D1F-21FB-44FC-BCDF-0EB0B3441B27},0
2910-31-9639-000,{7BD39CA0-280C-4891-BDA1-12F2A6241A09},0
2921-42-9623-000,{96734530-D550-4084-83CD-D8FF138CBF20},0
1899-42-0289-000,{262688AD-6E64-4DDF-B88E-B3478A2B169A},0
2817-16-1794-000,{490B8728-E7CE-4A45-AD5D-CF098A046225},0
1899-72-3949-000,{AEEBC06E-67BB-4547-A849-012EC8C9C2BE},0
2905-01-2695-000,{EFDEDCC8-7561-49AB-A76C-8EBC85D0ABA8},1
1992-64-3611-000,{ED1D3E2C-F182-4A91-AB99-0B6D69C3A12D},0
1993-75-4451-000,{4E0D956D-7FF5-43E0-B5FC-515746237EE4},1
1941-43-2340-000,{EA004864-BA6B-42EF-B02D-83DA12501DE3},0
1964-14-9632-000,{29D5831F-BBCB-4A65-86A9-AE717FBA6C51},0
1950-26-5662-000,{E0147582-0A61-484D-9DC9-3789DC74C652},0
2857-66-3632-000,{A444E344-C978-40E1-8278-E263720C3D87},0
2901-36-7440-000,{1216DE76-C90D-4185-B490-090F7A0167E7},0
1980-39-2116-000,{5838B33B-AC25-4228-A157-0674EAC7D15C},0
2930-32-2022-000,{B9A70108-9127-4102-B4DB-1D4D17A3BFE1},0
1879-10-8160-000,{3497DF05-B00B-48DE-B78B-A93B104D2837},0
2829-78-1850-000,{3AFDFE93-EB14-42F1-A49A-CA6F07FBC707},0
1962-71-8631-000,{996F188C-3DDA-4B48-905D-8709FCCB038B},0
2849-22-2442-000,{84D695E5-6B22-4463-AD53-2BA53C190EA6},0
1888-06-2909-000,{3D55BBFC-BC5F-4F94-9403-1CE9833697E8},0
2925-70-5051-000,{C0565D71-CE4E-41BA-BAD5-5282AEAD3B6A},0
