"GlobalID","n_permit_22"
"{6387A77A-0C2A-4239-BAF0-D1079A9820C8}",1
"{639FC2E3-09BA-4269-9692-256CF1B65FAD}",1
"{6445114D-FAE5-484F-A604-928618E3433A}",4
"{64A0FDB6-E8C1-4D8A-BA6D-EED0EC924756}",1
"{652735FD-3D62-435F-AD1F-97737E51CC67}",2
"{65C8C819-571B-4A43-AA29-E8645A11BD89}",1
"{6A4F05BF-8FA1-4F3C-AECB-EF1DED229252}",1
"{6A88B543-EF8C-4C74-BDE8-AB3102B8907C}",1
"{6B16B0FD-E677-4665-BDD3-1FCBFA9BE2B6}",2
"{6BE4D766-A317-43A8-A880-D37C73F4CC2D}",1
"{6C1FF309-0FAB-4CED-A539-DD5FFDF36132}",1
"{6C4116D5-FD6C-45AA-8662-061CCA48A580}",1
"{6D5CC5BB-56E8-4FAA-9E9A-2BBC0A3ABA3A}",1
"{6DAB406C-C53C-4482-9F01-C09597940FA5}",1
"{6E9AE063-7482-48C7-ABF1-D12C9379B792}",2
"{6EAB8E04-C247-4DC1-8740-F23638A70724}",1
"{6FCB1EF6-8F4E-4A9B-A684-0A57AECBA866}",1
"{706F0EC7-0737-4693-9CC5-33FAD38FE392}",1
"{718CCA58-EAA3-4BB0-B63C-B2A083B448A6}",1
"{7418CDA9-82C8-4E48-A45B-49C887199590}",1
"{74B33BEB-479D-47E8-9D60-833DB4F48698}",2
"{75B4237A-95E6-45FB-AEA4-39C53A34E602}",2
"{76ED8458-E705-458C-8D04-23863B2B7DD9}",1
"{7790C3DF-EACF-4FD7-8D27-3E7612FD441B}",1
"{7940C255-3164-45C5-A259-9BAD891CA6C8}",3
"{795F6ECE-7E50-49CA-AFBD-D657696D21D9}",1
"{79CB9DF6-5E19-43AB-B5FE-C1C5F265A8AF}",1
"{7B8DB777-9FCF-49E9-A524-F493B2D45ED7}",2
"{7CDDFC8D-759C-487C-8A34-553CC4854CF5}",1
"{7EFC463E-D3B5-4AC4-94AD-4F1AA35E8198}",1
"{8046003B-3078-4D14-8DBA-6A64F7A61008}",1
"{8160BA8C-7799-4CF5-ACAA-8D8CEE75FACA}",1
"{820B3FA6-8FBE-476E-857A-0FEC4559F82F}",3
"{824E42B9-251B-4067-80D1-CB1F4B3D1CD3}",2
"{8333D248-2601-4F1F-A54E-165A544AC4C5}",1
"{8571F549-4742-4DDC-B15C-9E3C5DAF963E}",1
"{858CEAAC-B78C-46B1-BC5B-F0F0A7BE15EB}",1
"{86576762-A03C-4132-A123-4E95129F3B6E}",1
"{87C9C80D-46F2-4318-8982-58954AF4D73F}",1
"{88118837-626D-4CB0-A6A8-0910679158DD}",1
"{89E81E1B-8133-4B3F-9B03-0BB2AA4A2D3F}",3
"{8A1ABB26-0AE0-4AB1-BAF1-5BB01C5B8478}",2
"{8B28B1D4-28D3-49A5-99E9-B81C791D648F}",2
"{8CB53244-EF61-41E5-BAA3-4298688C7781}",1
"{8D31912B-3532-4871-B7FF-C7B088E5A2C0}",1
"{8FC51C85-346D-480F-843F-F86C471FCA5B}",1
"{905E3392-D612-4304-803B-98BC710EBE14}",1
"{91A6A270-4305-4A4E-912A-2414B2191122}",1
"{93034E53-6831-4DF3-90A8-6546F81E6AC8}",1
"{93B64B1C-592B-4DEB-8AB3-6B807501DB97}",1
"{93DEEE77-78DA-4B89-91F1-D1797069BEFF}",1
"{958134B9-535B-40DF-8B65-0774514344D7}",1
"{95DB5DCB-5D41-400B-A0B8-AF5DE80292E4}",1
"{980CBB85-24C7-4575-9677-2C1DB48ACD20}",1
"{9A108EEF-A1B1-427B-9C83-6D42F4279EF6}",1
"{9A7F0FE6-C8B3-4DF7-A7A2-DE40856E5A84}",6
"{9AF3BF25-265E-4A08-8253-3012A0D2A7D0}",1
"{9EEAD219-68BB-4FE6-AC09-7EB5CA35646A}",1
"{A1195E24-848E-4CE9-B39F-D4D8983FD0BC}",1
"{A18A18F4-9A20-41F1-8695-E4D69D71BFE2}",1
"{A2FEA8A1-2DE8-4F42-A26E-B8DC85D5D3B8}",2
"{A33933C1-3187-467C-AAA0-AB097F9D3A4E}",3
"{A3EA8E29-A71B-4A98-BF90-E194027F5EB8}",2
"{A4A96A3B-68AA-48B8-BA50-3B69BDBE213F}",1
"{A4ACFF58-E5FD-4951-B9F3-31F87BC3DD34}",2
"{A4AF85C3-034D-4C27-BB19-73D21B7BDB6D}",2
"{A536A23D-D6B0-4847-8309-3A9687843023}",1
"{A5435658-572D-4B36-975E-BDBC73FC6B08}",1
"{A5EFD93C-5858-4EE5-9710-E1BA2303DD7E}",1
"{A6012429-CBCD-44A3-BCFA-708D38497E71}",1
"{A9383060-289E-432A-AF26-EDDFE78F1D3F}",1
"{AC1E5653-E098-4B55-9CA0-FD537C30ADD7}",1
"{AD6054AF-9350-42BF-AAD3-8C11EC14C6E3}",1
"{AEDA4B80-8F93-49DA-A616-576BDC71BD92}",1
"{B020DFB1-3996-42EA-9E31-68594E7C97E8}",4
"{B30041FB-62F8-41E0-A4C4-320A95551D79}",4
"{B3A1BAB6-6F2E-4C02-8B61-84F0574385E2}",1
"{B3E745EB-DEA3-48E1-9B5A-92EEFAAD433B}",1
"{B4AD94FC-9536-4121-8B0D-3F1F9E53D960}",1
"{B6346E5D-F971-491C-ADE8-D8F73FEAE176}",1
"{B65A2013-01AF-4B1F-82A6-F5DC539ACF0D}",2
"{B75883D6-65C1-4ABE-B03B-E38FBE1FE2FD}",2
"{B8AE3D41-20AA-4EA5-A6F3-9AE037A0BA54}",1
"{BA3E65BC-6857-4B4D-8AC0-17B6902B90F1}",1
