"Slope_Ave","Slope_Max","Soil_A","Soil_B","Soil_B.C","Soil_C","Soil_Unknown","n_permit_22","permit_17.nn_3","permit_17.nn_4","permit_17.nn_5","Developed_Open_Space","Deciduous_Forest","Mixed_Forest","Developed_Low_Intensity","Pasture_Hay","Developed_Medium_Intensity","Developed_High_Intensity","Woody_Wetlands","Grassland_Herbaceous","Evergreen_Forest","Shrub_Scrub","Emergent_Herbaceous_Wetlands","Landcover_NaN","Open_Water","Barren_Land","Cultivated_Crops","natural","inflation17","permit_17","YRBUILT","permit_22"
6.12487983703613,8.77569198608398,100,0,0,0,0,0,3431.22430061516,3805.85728628014,4089.52248856638,0.03,31.83,0,0,68.15,0,0,0,0,0,0,0,0,0,0,0,0,"    54342.40",0,0,"0"
8.21451282501221,8.21451282501221,100,0,0,0,0,0,1497.01444988662,2179.85116553554,2666.67795225983,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    38793.85",0,0,"0"
9.7957935333252,11.2377443313599,100,0,0,0,0,0,4998.74631084536,5616.3002526395,5986.83261771599,62.02,37.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    26192.08",0,0,"0"
8.40547895431519,9.46198272705078,54.8881001761541,45.1118998238459,0,0,0,0,3898.82021115753,4078.39035514318,4186.13244153457,82.13,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    92734.47",0,0,"0"
12.0148897171021,12.0148897171021,24.745587386962,75.254412613038,0,0,0,0,10824.5893816158,11018.5766747827,11134.9690506829,9.68,5.91,0,84.42,0,0,0,0,0,0,0,0,0,0,0,0,0,"    38670.27",0,0,"0"
9.7858715057373,9.7858715057373,0,100,0,0,0,0,2831.74343766071,3301.76649088471,3925.02212180669,99.69,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    12180.17",0,0,"0"
9.66755723953247,11.2559661865234,100,0,0,0,0,0,2615.39853711561,2660.49899853672,3041.25085446942,15.77,57.48,0,26.75,0,0,0,0,0,0,0,0,0,0,0,0,0,"    21607.13",0,0,"0"
10.5052471160889,11.788158416748,100,0,0,0,0,0,13746.2720997646,14348.9152197668,14793.1820342867,41.06,58.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"    18600.42",0,0,"0"
9.68876886367798,10.2005271911621,0,100,0,0,0,0,4546.55620567875,5231.99996157756,6071.12215654755,98.67,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,"    21279.55",0,0,"0"
9.51672554016113,10.6509895324707,9.77969304302661,90.2203069569734,0,0,0,0,542.283560326311,559.592980940927,569.978633309696,73.34,25.82,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,"   180715.98",0,0,"0"
